TransactionID,CustomerID,OrderDate,Area,Product,Category,Qty,UnitPrice,PaymentMode
TXN0001,CUST041,2025-05-06,Gariahat,Kurti,Clothing,,600.0,
TXN0002,CUST058,2025-02-17,Dum Dum,Kurti,Clothing,1.0,150.0,Cash
TXN0003,CUST013,2025-01-04,New Market,Rosogolla Tin,Food,2.0,600.0,Cash
TXN0004,CUST014,2025-02-19,Park Street,Tea Packet,Grocery,1.0,1200.0,UPI
TXN0005,CUST047,2025-10-10,Park Street,Punjabi,Clothing,2.0,250.0,Card
TXN0006,CUST037,2025-05-29,Park Street,Fish (Rui),Food,1.0,450.0,UPI
TXN0007,CUST018,2025-07-01,Behala,Punjabi,Clothing,1.0,800.0,
TXN0008,CUST042,2025-03-25,Salt Lake,Kurti,Clothing,3.0,450.0,
TXN0009,CUST045,2025-04-28,Behala,Fish (Rui),Food,5.0,150.0,UPI
TXN0010,CUST014,2025-07-22,New Market,Tea Packet,Grocery,,,
TXN0011,CUST036,2025-07-05,Dum Dum,Jute Bag,Accessories,3.0,1200.0,UPI
TXN0012,CUST006,2025-12-15,Park Street,Saree,Clothing,1.0,300.0,Cash
TXN0013,CUST030,2025-12-16,Gariahat,Jute Bag,Accessories,,250.0,Card
TXN0014,CUST028,2025-09-14,Ballygunge,Sweets Box,Food,1.0,600.0,
TXN0015,CUST020,2025-04-10,Salt Lake,Fish (Rui),Food,2.0,300.0,UPI
TXN0016,CUST060,2025-04-05,HOWRAH,Tea Packet,Grocery,1.0,150.0,UPI
TXN0017,CUST049,2025-10-09,Salt Lake,Sweets Box,Food,,,UPI
TXN0018,CUST014,2025-08-13,Howrah,Fish (Rui),Food,2.0,800.0,Card
TXN0019,CUST002,2025-12-29,New Market,Fish (Rui),Food,1.0,250.0,Card
TXN0020,CUST005,2025-04-20,Howrah,Fish (Rui),Food,,,Cash
TXN0021,CUST031,2025-08-04,BALLYGUNGE,Fish (Rui),Food,5.0,1200.0,UPI
TXN0022,CUST027,2025-02-01,Gariahat,Punjabi,Clothing,,250.0,UPI
TXN0023,CUST016,2025-03-13,New Market,Fish (Rui),Food,3.0,,UPI
TXN0024,CUST029,2025-02-17,Gariahat,Kurti,Clothing,,150.0,Cash
TXN0025,CUST056,2025-01-02,Gariahat,Rosogolla Tin,Food,1.0,1200.0,UPI
TXN0026,CUST019,2025-06-01,Ballygunge,Rosogolla Tin,Food,1.0,450.0,Cash
TXN0027,CUST004,2025-09-15,GARIAHAT,Tea Packet,Grocery,1.0,,Cash
TXN0028,CUST005,2025-10-19,new market  ,Kurti,Clothing,2.0,250.0,UPI
TXN0029,CUST027,2025-05-03,Howrah,Tea Packet,Grocery,1.0,800.0,Card
